Date;Price
01.01.2004;1003.75
01.02.2004;1035.25
01.03.2004;1137.25
01.04.2004;1122.5
01.05.2004;1028
01.06.2004;1096.75
01.07.2004;967.25
01.08.2004;1026.5
01.09.2004;956.5
01.10.2004;1090
01.11.2004;1022.75
01.12.2004;1167.5
01.01.2005;1253.5
01.02.2005;1287.5
01.03.2005;1371
01.04.2005;1324.5
01.05.2005;1286
01.06.2005;1288.5
01.07.2005;1180
01.08.2005;1260.75
01.09.2005;1402
01.10.2005;1405.25
01.11.2005;1520.5
01.12.2005;1755.25
01.01.2006;1900.5
01.02.2006;2334
01.03.2006;2334
01.04.2006;2742.5
01.05.2006;3202
01.06.2006;3564
01.07.2006;3220
01.08.2006;3398.5
01.09.2006;3421
01.10.2006;3350.5
01.11.2006;4252
01.12.2006;4487
01.01.2007;4290
01.02.2007;3408
01.03.2007;3479
01.04.2007;3142
01.05.2007;3860
01.06.2007;3777.25
01.07.2007;3454
01.08.2007;3558.5
01.09.2007;3040
01.10.2007;3107
01.11.2007;2730
01.12.2007;2471.5
01.01.2008;2353.5
01.02.2008;2461
01.03.2008;2810.75
01.04.2008;2297
01.05.2008;2163.5
01.06.2008;1943.5
01.07.2008;1900
01.08.2008;1833.5
01.09.2008;1762.5
01.10.2008;1648
01.11.2008;1139.5
01.12.2008;1162
01.01.2009;1180.25
01.02.2009;1092.5
01.03.2009;1074.5
01.04.2009;1284.25
01.05.2009;1492
01.06.2009;1584.25
01.07.2009;1568
01.08.2009;1820.5
01.09.2009;1828
01.10.2009;1886
01.11.2009;2169
01.12.2009;2342.25
01.01.2010;2529
01.02.2010;2134.5
01.03.2010;2194.75
01.04.2010;2372.75
01.05.2010;2253.25
01.06.2010;1819.75
01.07.2010;1708.5
01.08.2010;2095.25
01.09.2010;2103.25
01.10.2010;2200.5
01.11.2010;2422.5
01.12.2010;2147.5
01.01.2011;2444
01.02.2011;2451.75
01.03.2011;2488
01.04.2011;2380.75
01.05.2011;2234
01.06.2011;2238.5
01.07.2011;2342
01.08.2011;2435.75
01.09.2011;2212.5
01.10.2011;1869.75
01.11.2011;1899
01.12.2011;2049.5
01.01.2012;1827.25
01.02.2012;2113
01.03.2012;2082
01.04.2012;2003.25
01.05.2012;2046.5
01.06.2012;1885
01.07.2012;1873
01.08.2012;1811.75
01.09.2012;1849.75
01.10.2012;2074.25
01.11.2012;1849.25
01.12.2012;2021.25
01.01.2013;2049.5
01.02.2013;2155.75
01.03.2013;1997.5
01.04.2013;1864.5
01.05.2013;1805.75
01.06.2013;1919
01.07.2013;1858
01.08.2013;1816.75
01.09.2013;1870
01.10.2013;1840
01.11.2013;1906.25
01.12.2013;1857
01.01.2014;2053
01.02.2014;1954.75
01.03.2014;2107
01.04.2014;1962.25
01.05.2014;2021.5
01.06.2014;2088.25
01.07.2014;2179.5
01.08.2014;2343
01.09.2014;2358.75
01.10.2014;2261.5
01.11.2014;2308.25
01.12.2014;2232.5
01.01.2015;2167
01.02.2015;2124
01.03.2015;2038.5
01.04.2015;2094
01.05.2015;2364
01.06.2015;2147.5
01.07.2015;2041
01.08.2015;1900


